,name,country,lon,lat,humidity,temp_max,wind_speed,cloudness
380,‘Āhuimanu,US,-157.8378,21.4447,79,73.11,4.61,40
381,Paldiski,EE,24.0531,59.3567,86,25.86,4.61,100
382,Lyngseidet,NO,20.2189,69.5763,78,21.29,10.45,3
383,Bam,IR,58.357,29.106,24,54.41,2.17,0
384,Langfang,CN,116.6947,39.5097,20,35.85,14.81,0
385,Pontianak,ID,109.3333,-0.0333,62,91.38,8.05,75
386,Narodychi,UA,29.0823,51.2029,95,24.62,6.35,100
387,Mae Hong Son,TH,97.9685,19.3003,23,90.23,3.06,4
388,Venice,US,-82.4543,27.0998,96,70.14,0,75
389,Uruçuí,BR,-44.5561,-7.2294,91,72.03,2.59,95
390,Alpena,US,-83.4327,45.0617,87,11.1,3,100
391,Heyang,CN,107.473,26.1011,83,47.12,4.94,100
392,Pangkalanbuun,ID,111.6167,-2.6833,57,89.44,4.18,75
393,Miandrivazo,MG,45.4667,-19.5167,64,82.71,4.25,100
394,Santo Antônio do Monte,BR,-45.2936,-20.0872,99,64.98,7.81,100
395,Necochea,AR,-58.7368,-38.5473,58,72.03,14.47,100
396,Teluknaga,ID,106.6381,-6.0989,70,89.78,15.01,40
397,Forbes,AU,148.0167,-33.3833,24,92.91,4.99,63
398,Isangel,VU,169.2667,-19.55,83,79.79,20.78,21
399,Pisco,PE,-76.2167,-13.7,94,68.05,4.61,0
400,Muromtsevo,RU,75.2418,56.3724,86,5.9,9.04,100
401,Ambon City,ID,128.1814,-3.6954,49,93.34,11.5,20
402,Gravdal,NO,13.5031,68.1214,86,33.48,2.3,75
403,Vestmannaeyjar,IS,-20.2734,63.4427,69,42.03,29.64,100
404,Buraidah,SA,43.975,26.326,27,67.8,11.21,98
405,Plettenberg Bay,ZA,23.3716,-34.0527,65,77.41,4.38,81
406,Xichang,CN,102.2634,27.8964,43,62.62,1.16,34
407,Yar-Sale,RU,70.8333,66.8333,95,-11.88,7.87,45
