,name,country,lon,lat,humidity,temp_max,wind_speed,cloudness
297,Praia da Vitória,PT,-27.0667,38.7333,94,54.75,22.19,75
298,Munxar,MT,14.2348,36.0307,81,59.38,1.01,78
299,Sabha,LY,14.4283,27.0377,21,63.45,4.54,55
300,Coyhaique,CL,-72.0662,-45.5752,67,62.55,8.05,1
301,Cocobeach,GA,9.5823,1.0002,64,80.53,8.7,84
302,Pergamino,AR,-60.5736,-33.89,28,79.25,7.65,2
303,Makakilo City,US,-158.0858,21.3469,64,72.01,6.91,20
304,Mayumba,GA,10.6554,-3.432,85,79.57,6.78,99
305,Lábrea,BR,-64.7981,-7.2586,96,74.95,2.42,100
306,Kaitangata,NZ,169.8464,-46.2817,68,55.92,3.13,85
307,Verkhnyaya Inta,RU,60.3094,65.9811,97,-4.99,6.4,94
308,Camalú,MX,-116.0667,30.85,63,59.74,3.65,100
309,Catia La Mar,VE,-67.0303,10.6038,69,79.0,6.91,75
310,Trairi,BR,-39.2689,-3.2778,61,86.4,12.91,68
311,Ennis,IE,-8.9864,52.8436,87,53.06,12.66,20
312,Bojnourd,IR,57.329,37.4747,37,49.95,4.61,0
313,Huesca,ES,-0.4087,42.1362,97,59.2,4.61,90
314,Oranjestad,AW,-70.027,12.524,91,78.91,4.0,40
315,Makat,KZ,53.3463,47.6469,40,20.23,15.84,31
316,Vila Franca do Campo,PT,-25.4333,37.7167,72,63.01,25.28,77
317,Sakakah,SA,40.2064,29.9697,32,62.17,5.17,86
318,Huntington Beach,US,-117.9992,33.6603,79,60.94,0.0,90
319,Havre-St-Pierre,CA,-63.5986,50.2334,93,21.79,17.27,90
320,Palana,RU,159.9667,59.1167,84,0.28,8.79,100
321,Vágur,FO,-6.8119,61.4732,65,41.5,28.36,91
322,Cambridge,CA,-80.3127,43.3601,80,22.33,1.99,90
323,Bijie,CN,105.2942,27.3125,94,44.56,7.11,83
324,Yulara,AU,130.9889,-25.2406,36,82.24,6.91,78
325,Castaños,MX,-101.4167,26.7833,40,54.34,2.48,61
326,Salym,RU,71.4789,60.0625,100,-3.12,4.47,64
327,Amiens,FR,2.3,49.9,84,40.06,10.6,76
328,San Cristobal,VE,-72.225,7.7669,87,66.38,0.87,89
329,Mvomero,TZ,38.6667,-6.25,49,83.95,9.19,45
330,Asino,RU,86.1452,56.9979,91,10.24,8.75,11
331,Aksu,CN,80.2644,41.1231,40,29.93,5.06,1
332,Matara,LK,80.5353,5.9485,79,79.0,1.86,92
333,Pailón,BO,-62.75,-17.65,98,73.08,4.36,100
334,Tarko-Sale,RU,77.785,64.9225,90,13.98,25.12,100
335,Yeppoon,AU,150.7333,-23.1333,66,80.38,6.73,1
336,Safranbolu,TR,32.6942,41.2508,63,28.13,2.28,92
337,Mareeba,AU,145.4333,-17.0,86,77.72,2.73,96
338,Bakhmach,UA,32.7569,51.1808,80,15.53,8.41,59
339,Sechura,PE,-80.8222,-5.5569,83,67.86,8.77,38
340,Port Hardy,CA,-127.4199,50.6996,86,39.2,6.91,75
341,Nagorsk,RU,50.8078,59.3172,97,-10.03,4.65,51
342,Tiznit Province,MA,-9.5,29.5833,34,69.12,4.07,89
343,Kāzerūn,IR,51.6541,29.6195,24,62.2,5.23,11
344,Nago,JP,127.9761,26.5881,90,69.96,15.41,100
345,Bagdarin,RU,113.6,54.4333,95,-25.87,3.49,24
346,Riyadh,SA,46.7219,24.6877,17,69.94,9.04,28
347,Tessalit,ML,1.0114,20.1986,13,76.53,14.85,67
348,Basco,PH,121.9702,20.4487,78,77.25,16.4,90
349,Pangkalanbuun,ID,111.6167,-2.6833,94,76.87,2.93,53
350,Vredendal,ZA,18.5012,-31.6683,50,80.73,12.64,74
351,Nahavand,IR,48.377,34.1885,38,43.9,8.43,49
352,Bilibino,RU,166.4372,68.0546,98,-25.74,1.32,100
353,Bariloche,AR,-71.3082,-41.1456,39,65.95,0.0,0
354,Qui Nhon,VN,109.2333,13.7667,87,73.47,7.76,36
355,Hornepayne,CA,-84.7705,49.2138,98,-3.23,1.7,66
356,Vanavara,RU,102.2797,60.34,100,-29.24,1.74,20
357,Acarí,PE,-74.6158,-15.4311,76,70.2,2.62,54
358,Laguna,US,-121.4238,38.421,96,58.66,8.01,90
359,Caluquembe,AO,14.6833,-13.7833,40,79.63,3.47,81
360,Włodawa,PL,23.55,51.55,71,25.11,9.57,94
361,Tilichiki,RU,166.1,60.4667,94,-4.68,12.44,96
362,Kashgar,CN,75.9797,39.4547,35,36.61,4.47,50
363,Mayya,RU,130.2811,61.7333,98,-45.69,4.74,69
364,Boa Vista,BR,-60.6733,2.8197,88,76.98,4.61,75
365,Antequera,ES,-4.5612,37.0194,93,55.38,7.23,100
366,Minas,UY,-55.2377,-34.3759,49,68.47,7.38,0
367,Grand Gaube,MU,57.6608,-20.0064,78,88.2,5.01,87
368,Upata,VE,-62.3989,8.0086,96,71.67,5.91,100
369,Binzhou,CN,118.0167,37.3667,77,36.16,15.28,100
370,Cantaura,VE,-64.3584,9.3057,80,75.22,11.12,96
371,Dzerzhinsk,RU,43.4631,56.2389,70,-11.38,8.95,20
372,Vao,NC,167.4833,-22.6667,71,76.87,13.04,52
373,Conselheiro Pena,BR,-41.4722,-19.1722,81,82.04,4.9,66
374,Kjøllefjord,NO,27.3465,70.9457,87,26.65,40.44,97
375,Lake Shasta,US,-122.3708,40.6804,95,44.76,1.1,100
376,Udachny,RU,112.4,66.4167,99,-28.12,4.41,40
377,Pangai,TO,-174.35,-19.8,75,80.46,10.89,20
378,Zhigansk,RU,123.3711,66.7697,98,-47.56,2.75,79
379,Porto Velho,BR,-63.9039,-8.7619,94,77.05,2.3,75
380,Jvara,GE,44.3472,41.5251,49,25.54,4.27,100
381,At-Bashi,KG,75.8106,41.1702,74,17.62,1.48,58
382,Yen Bai,VN,104.8667,21.7,76,67.21,2.19,19
383,Keti Bandar,PK,67.4497,24.1447,69,76.84,11.27,63
384,Sioux Lookout,CA,-91.917,50.1001,77,-1.82,5.75,75
385,Mayo,US,-76.5119,38.8876,62,32.34,1.01,0
386,Dafeng,CN,108.5881,23.4517,58,67.51,2.44,0
387,Muriwai Beach,NZ,174.45,-36.8167,86,68.43,9.89,99
388,Guangzhou,CN,113.25,23.1167,64,64.99,3.74,100
389,Sawtell,AU,153.1,-30.3833,93,70.18,10.36,75
390,Mercedes,AR,-59.4307,-34.6515,32,78.85,7.38,0
391,Yerbogachën,RU,108.0108,61.2767,100,-29.58,4.03,15
